, GDP, Per Capita, Growth Rate
date, Billions of US $, US $, Annual % Change
31/12/1960,0.791265459,102.0799,
31/12/1961,0.792959472,98.5353,-7.7746
31/12/1962,0.8681114,103.7967,9.4574
31/12/1963,0.926589349,106.5388,8.7783
31/12/1964,0.998759334,110.392,4.9645
31/12/1965,0.99791932,105.9677,2.0091
31/12/1966,1.164519673,118.797,14.7286
31/12/1967,1.232559506,120.8265,3.3612
31/12/1968,1.353295458,127.5025,7.9827
31/12/1969,1.458379415,132.105,7.9592
31/12/1970,1.603447357,139.7573,-4.6554
31/12/1971,1.778391289,149.464,22.1739
31/12/1972,2.107279157,171.0051,17.0824
31/12/1973,2.509001444,196.624,5.8966
31/12/1974,2.969958812,224.9296,4.0656
31/12/1975,3.259344936,238.7465,0.8822
31/12/1976,3.474542392,246.3818,2.154
31/12/1977,4.494378855,308.3126,9.4538
31/12/1978,5.303734883,351.5335,6.9125
31/12/1979,6.234390975,399.1131,7.6152
31/12/1980,7.265315332,448.833,5.592
31/12/1981,6.854491454,408.3467,3.7735
31/12/1982,6.431579357,369.3871,1.5065
31/12/1983,5.979198464,330.9008,1.3091
31/12/1984,6.19143707,330.1541,1.7552
31/12/1985,6.135034338,315.3909,4.3006
31/12/1986,7.239126717,359.068,7.1776
31/12/1987,7.970820531,381.706,5.9371
31/12/1988,8.355380879,386.3559,6.2032
31/12/1989,8.283114648,369.9834,4.6903
31/12/1990,8.572359163,370.1001,4.1921
31/12/1991,8.151488882,340.8065,1.4383
31/12/1992,8.209120678,332.9499,-0.7995
31/12/1993,5.75178661,226.5212,0.3532
31/12/1994,7.148148564,273.5218,2.6328
31/12/1995,9.046320197,336.5653,4.4062
31/12/1996,12.04586547,436.1957,4.1468
31/12/1997,13.11576443,462.4045,0.4749
31/12/1998,14.09399884,483.7086,3.2902
31/12/1999,12.89601052,430.3673,2.3054
31/12/2000,12.70535015,411.8214,0.5997
31/12/2001,12.98600743,408.3606,3.7799
31/12/2002,13.14773695,401.0924,0.5469
31/12/2003,14.90451765,441.3914,2.9325
31/12/2004,16.09533709,462.6182,5.1043
31/12/2005,18.7378954,522.7768,5.9067
31/12/2006,25.82551228,699.3997,6.4725
31/12/2007,31.95819518,840.1916,6.8507
31/12/2008,35.89515333,915.9989,0.2323
31/12/2009,42.34721791,1049.1218,3.3069
31/12/2010,45.40561523,1093.6396,8.0585
31/12/2011,46.86947317,1099.3155,5.1211
31/12/2012,56.39670483,1289.7808,4.5687
31/12/2013,61.67144048,1376.8292,3.7978
31/12/2014,68.28579666,1489.9197,5.0201
31/12/2015,70.12044666,1496.6536,4.9677
31/12/2016,74.8151438,1562.0766,4.2135
31/12/2017,82.03651126,1675.9884,3.838
31/12/2018,92.20297994,1845.7834,5.6479
31/12/2019,100.3784358,1970.0801,5.1142
31/12/2020,100.6575056,1936.2508,-0.2728
31/12/2021,109.7036593,2069.6611,7.5905
31/12/2022,113.4200082,2099.3019,4.8466
