date, Inflation Rate (%), Annual Change, 
31/12/1960,1.2438,,
31/12/1961,2.457,1.21,
31/12/1962,3.1175,0.66,
31/12/1963,0.6977,-2.42,
31/12/1964,-0.0993,-0.8,
31/12/1965,3.5785,3.68,
31/12/1966,5.0144,1.44,
31/12/1967,1.7592,-3.26,
31/12/1968,0.3667,-1.39,
31/12/1969,-0.1715,-0.54,
31/12/1970,2.1885,2.36,
31/12/1971,3.7802,1.59,
31/12/1972,5.8316,2.05,
31/12/1973,9.2812,3.45,
31/12/1974,17.8099,8.53,
31/12/1975,19.1202,1.31,
31/12/1976,11.449,-7.67,
31/12/1977,14.821,3.37,
31/12/1978,16.9318,2.11,
31/12/1979,7.9794,-8.95,
31/12/1980,13.8582,5.88,
31/12/1981,11.6031,-2.26,
31/12/1982,20.6667,9.06,
31/12/1983,11.3978,-9.27,
31/12/1984,10.2841,-1.11,
31/12/1985,13.0066,2.72,
31/12/1986,2.5343,-10.47,
31/12/1987,8.6377,6.1,
31/12/1988,12.265,3.63,
31/12/1989,13.7893,1.52,
31/12/1990,17.7818,3.99,
31/12/1991,20.0845,2.3,
31/12/1992,27.3324,7.25,
31/12/1993,45.9789,18.65,
31/12/1994,28.8144,-17.16,
31/12/1995,1.5543,-27.26,
31/12/1996,8.8641,7.31,
31/12/1997,11.3618,2.5,
31/12/1998,6.7224,-4.64,
31/12/1999,5.742,-0.98,
31/12/2000,9.98,4.24,
31/12/2001,5.7386,-4.24,
31/12/2002,1.9613,-3.78,
31/12/2003,9.8157,7.85,
31/12/2004,11.624,1.81,
31/12/2005,10.3128,-1.31,
31/12/2006,14.4537,4.14,
31/12/2007,9.7589,-4.69,
31/12/2008,26.2398,16.48,
31/12/2009,9.2341,-17.01,
31/12/2010,3.9614,-5.27,
31/12/2011,14.0225,10.06,
31/12/2012,9.3778,-4.64,
31/12/2013,5.7175,-3.66,
31/12/2014,6.8782,1.16,
31/12/2015,6.5822,-0.3,
31/12/2016,6.2972,-0.29,
31/12/2017,8.0057,1.71,
31/12/2018,4.6898,-3.32,
31/12/2019,5.2359,0.55,
31/12/2020,5.4048,0.17,
31/12/2021,6.1109,0.71,
31/12/2022,7.6569,1.55,
